year,pick,player,ws,ws_per_48,bpm,vorp,g,mp,seasons
1995,3,Jerry Stackhouse,52.4,.083,0.3,17.4,970,30222,18
1995,4,Rasheed Wallace,105.1,.139,2.2,38.3,1109,36243,16
1995,5,Kevin Garnett,191.4,.182,5.6,96.9,1462,50418,21
1995,6,Bryant Reeves,13.0,.052,-3.4,-4.3,395,12071,6
1995,7,Damon Stoudamire,55.4,.091,0.3,16.8,878,29106,13
1995,8,Shawn Respert,2.1,.043,-2.3,-0.2,172,2350,4
1995,9,Ed O'Bannon,1.1,.025,-3.5,-0.7,128,2062,2
1995,10,Kurt Thomas,64.2,.114,-0.8,8.6,1110,27160,18
1995,11,Gary Trent,23.2,.113,-1.0,2.4,506,9866,9
1995,12,Cherokee Parks,11.8,.076,-2.4,-0.7,472,7459,9
1995,13,Corliss Williamson,34.7,.089,-2.0,-0.1,822,18749,12
1995,14,Eric Williams,23.2,.071,-2.4,-1.5,658,15731,12
1995,15,Brent Barry,70.5,.143,2.6,27.7,912,23643,14
1995,16,Alan Henderson,28.0,.097,-1.8,0.6,652,13780,12
1995,17,Bob Sura,28.3,.087,0.4,9.4,657,15597,10
1995,18,Theo Ratliff,47.9,.112,0.0,10.3,810,20500,16
1995,19,Randolph Childress,-0.2,-.026,-5.7,-0.4,51,405,2
1995,20,Jason Caffey,13.5,.072,-3.6,-3.6,462,9045,8
1995,21,Michael Finley,85.2,.108,1.0,28.8,1103,37996,15
1995,22,George Zidek,0.8,.029,-7.5,-1.8,135,1328,3
1995,23,Travis Best,30.9,.098,-0.4,6.0,708,15150,10
1995,24,Loren Meyer,0.5,.012,-7.2,-2.7,140,2044,3
1995,25,David Vaughn,0.6,.026,-6.4,-1.3,118,1156,4
1995,26,Sherell Ford,0.4,.124,-5.2,-0.1,28,139,1
1995,27,Mario Bennett,1.9,.153,-0.8,0.2,68,606,4
1995,28,Greg Ostertag,33.8,.110,-0.6,5.1,756,14753,11
1995,29,Cory Alexander,3.0,.030,-1.7,0.4,307,4847,7
1995,30,Lou Roe,0.0,-.001,-4.9,-0.4,66,479,2
1995,31,Dragan Tarlac,-0.2,-.016,-7.3,-0.8,43,598,1
1995,32,Terrence Rencher,-0.2,-.021,-4.0,-0.2,36,405,1
1995,33,Junior Burrough,-0.2,-.018,-7.5,-0.7,61,495,1
1995,34,Andrew DeClercq,19.4,.094,-2.9,-2.4,587,9847,10
1995,35,Jimmy King,0.0,.001,-4.6,-0.6,64,890,2
1995,36,Lawrence Moten,0.0,.001,-2.1,0.0,119,1814,3
1995,37,Frankie King,0.0,.025,-4.7,-0.1,13,79,2
1995,38,Rashard Griffith,,,,,,,
1995,39,Donny Marshall,0.9,.045,-3.8,-0.4,119,919,5
1995,40,Dwayne Whitfield,0.0,.010,-7.2,-0.2,8,122,1
1995,41,Erik Meek,,,,,,,
1995,42,Donnie Boyce,-0.3,-.064,-4.9,-0.1,30,195,2
1995,43,Eric Snow,43.4,.090,-1.0,5.9,846,23132,13
1995,44,Anthony Pelle,,,,,,,
1995,45,Troy Brown,,,,,,,
1995,46,George Banks,,,,,,,
1995,47,Tyus Edney,6.8,.069,-1.5,0.7,226,4743,4
1995,48,Mark Davis,2.3,.030,-2.4,-0.4,230,3681,5
1995,49,Jerome Allen,0.2,.006,-3.2,-0.4,117,1305,2
1995,50,Martin Lewis,0.1,.026,-5.0,-0.2,25,239,2
1995,51,Dejan Bodiroga,,,,,,,
1995,52,Fred Hoiberg,27.6,.133,1.2,8.0,541,9978,10
1995,53,Constantin Popa,,,,,,,
1995,54,Aurelijius Zukauskas,,,,,,,
1995,55,Michael McDonald,-0.1,-.638,-32.4,0.0,1,4,1
1995,56,Chris Carr,3.9,.042,-3.0,-1.1,297,4505,6
1995,57,Cuonzo Martin,-0.1,-.151,-6.3,0.0,7,32,2
1995,58,Don Reid,13.7,.123,-2.1,-0.2,403,5374,8
1996,1,Allen Iverson,99.0,.126,3.2,49.6,914,37584,14
1996,2,Marcus Camby,81.6,.137,2.3,31.3,973,28684,17
1996,3,Shareef Abdur-Rahim,71.2,.118,1.0,21.9,830,28882,12
1996,4,Stephon Marbury,77.5,.117,1.8,30.7,846,31891,13
1996,5,Ray Allen,145.1,.150,2.9,57.6,1300,46344,18
1996,6,Antoine Walker,38.1,.058,0.3,18.0,893,31531,12
1996,7,Lorenzen Wright,30.5,.079,-2.6,-3.0,778,18535,13
1996,8,Kerry Kittles,44.8,.127,2.2,18.0,507,16929,8
1996,9,Samaki Walker,14.2,.089,-2.6,-1.1,445,7612,10
1996,10,Erick Dampier,52.7,.105,-1.3,4.1,987,24003,16
1996,11,Todd Fuller,2.2,.041,-5.7,-2.3,225,2500,5
1996,12,Vitaly Potapenko,15.5,.064,-4.0,-5.9,610,11608,11
1996,13,Kobe Bryant,172.7,.170,4.6,80.1,1346,48637,20
1996,14,Peja Stojakovic,82.6,.147,1.9,26.2,804,26966,13
1996,15,Steve Nash,129.7,.164,3.0,48.2,1217,38069,18
1996,16,Tony Delk,19.5,.080,-0.4,4.8,545,11702,10
1996,17,Jermaine O'Neal,66.0,.116,0.3,15.6,1011,27364,18
1996,18,John Wallace,6.4,.050,-2.7,-1.0,381,6143,7
1996,19,Walter McCarty,13.8,.064,-1.7,0.8,593,10374,10
